config,error
[9/144] riemann_features | id | riemann_advanced_data_map_v2 | Z+ZZ | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[60/144] riemann_features | tanh | riemann_advanced_data_map_v2 | Z+ZZ | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[69/144] riemann_features | tanh | riemann_advanced_data_map_v2 | Y+YY | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[70/144] riemann_features | tanh | riemann_advanced_data_map_v2 | Y+YY | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[71/144] riemann_features | tanh | riemann_advanced_data_map_v2 | Y+YY | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[72/144] riemann_features | tanh | riemann_advanced_data_map_v2 | Y+YY | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[81/144] riemann_features | tanh | riemann_advanced_data_map_v2 | X+XX | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[82/144] riemann_features | tanh | riemann_advanced_data_map_v2 | X+XX | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[83/144] riemann_features | tanh | riemann_advanced_data_map_v2 | X+XX | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[84/144] riemann_features | tanh | riemann_advanced_data_map_v2 | X+XX | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[93/144] riemann_features | tanh | riemann_advanced_data_map_v2 | all_pairs | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[94/144] riemann_features | tanh | riemann_advanced_data_map_v2 | all_pairs | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[95/144] riemann_features | tanh | riemann_advanced_data_map_v2 | all_pairs | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[96/144] riemann_features | tanh | riemann_advanced_data_map_v2 | all_pairs | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[105/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Z+ZZ | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[106/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Z+ZZ | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[107/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Z+ZZ | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[108/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Z+ZZ | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[117/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Y+YY | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[118/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Y+YY | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[119/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Y+YY | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[120/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | Y+YY | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[129/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | X+XX | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[130/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | X+XX | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[131/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | X+XX | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[132/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | X+XX | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[141/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | all_pairs | linear | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[142/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | all_pairs | linear | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[143/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | all_pairs | full | r=1,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
[144/144] riemann_features | rbf-s1 | riemann_advanced_data_map_v2 | all_pairs | full | r=2,'>=' not supported between instances of 'qiskit._accelerate.circuit.ParameterExpression' and 'int'
